,Video,Mean,Std,Diff1,Diff2,PCAd1,PCAd2,Label
O1,T4,0.7366933114,0.2887044338,0.0200338797,0.1356946937,0.0214787695,0.0920466994,Genuine
O2,T4,0.9027120395,0.0474710094,0.0032104895,0.2911858306,0.0238001684,0.0794327312,Genuine
O3,T4,0.913472679,0.0569014187,0.0022953015,0.2826292793,0.023890935,0.0781651399,Genuine
O4,T4,0.8778268931,0.0601252274,0.0018182081,0.2588158039,0.0237700968,0.0777168704,Genuine
O5,T4,0.9660467209,0.0152817338,0.0015923569,0.3221707924,0.0244328304,0.0774390687,Genuine
O6,T4,0.9717693685,0.0169256773,0.0027361516,0.2492576658,0.024372751,0.0767487419,Genuine
O7,T4,0.9261853334,0.0902234811,0.0102648623,0.074164586,0.0327131137,0.1169899205,Genuine
O8,T4,0.8198995434,0.2407274452,0.0227121263,0.1649822956,0.023178595,0.110514231,Genuine
O9,T4,0.9359840202,0.0405665111,0.0034872122,0.2049744627,0.0242063505,0.0767214869,Genuine
O10,T4,0.9432802016,0.0354383514,0.0021922006,0.3279266242,0.024684395,0.0806017501,Genuine
O11,T4,0.8193838666,0.0747534216,0.0079057349,0.1271862189,0.0271102402,0.0940496184,Genuine
O12,T4,0.9448345174,0.0348338088,0.0017057361,0.3543066963,0.0243070968,0.0774512931,Genuine
O13,T4,0.8251410439,0.1847566784,0.0149147481,0.0766757468,0.0235916914,0.1083876007,Genuine
O14,T4,0.8557259548,0.1786014129,0.0152063619,0.0713367577,0.0233317836,0.105489613,Genuine
O15,T4,0.8059919559,0.3031023638,0.0172262417,0.1213715023,0.0218797772,0.1178487654,Genuine
O16,T4,0.9020256214,0.054702244,0.0023713128,0.025668554,0.0235628622,0.0767597391,Genuine
O17,T4,0.9117556138,0.0547851588,0.0022232885,0.2839032854,0.0239420076,0.0788891429,Genuine
O18,T4,0.9227264308,0.0470869878,0.0028821254,0.3003527888,0.0242287723,0.0782149533,Genuine
O19,T4,0.8901787792,0.0742290091,0.0056124419,0.0463582937,0.0239855928,0.0779312695,Genuine
O20,T4,0.852241916,0.0707572409,0.0056623351,0.3352812605,0.0243179709,0.0834097232,Genuine
O1,T5,0.8431838044,0.1852345488,0.012202634,0.114445893,0.0173960683,0.1021969058,Genuine
O2,T5,0.8447140966,0.0747890963,0.0040494114,0.2737521699,0.0201250905,0.1203304678,Genuine
O3,T5,0.8828414822,0.1498306508,0.0060342558,0.0462560567,0.0190514535,0.1241752578,Genuine
O4,T5,0.819297396,0.1316540673,0.0082112936,0.0504759297,0.0233275543,0.1238877132,Genuine
O5,T5,0.9647436044,0.0242172017,0.0014111453,0.327036876,0.021651452,0.1166858886,Genuine
O6,T5,0.962350105,0.0198739885,0.0026440522,0.276456992,0.0224894505,0.1169350242,Genuine
O7,T5,0.9312407276,0.099260667,0.0100160554,0.0620461257,0.0235405864,0.1226195577,Genuine
O8,T5,0.879503213,0.0739981792,0.0055431313,0.1852035927,0.0215312522,0.1321699397,Genuine
O9,T5,0.8937120483,0.0513003494,0.0032402188,0.2683244969,0.0209096323,0.1151343481,Genuine
O10,T5,0.9585311878,0.0161114025,0.0021625494,0.2857402694,0.0222126463,0.119908841,Genuine
O11,T5,0.779140355,0.1348171802,0.0162107377,0.2745692675,0.026672747,0.1323603957,Genuine
O12,T5,0.9372861273,0.0423808722,0.0021716683,0.2893516365,0.0211482295,0.1185784565,Genuine
O13,T5,0.8251054195,0.2039036527,0.0133952203,0.1190512715,0.0164992547,0.1330733227,Genuine
O14,T5,0.8976796581,0.0765588386,0.0021250812,0.2563828909,0.0199124777,0.1155110595,Genuine
O15,T5,0.7387827987,0.2850947418,0.0310970359,0.1752138465,0.0193091917,0.1131247029,Genuine
O16,T5,0.7876313863,0.2693490559,0.0154438982,0.1043516461,0.0187838656,0.1155006672,Genuine
O17,T5,0.9246834906,0.05187584,0.0025670671,0.3146915117,0.0210177563,0.1211480143,Genuine
O18,T5,0.9329964101,0.0390167548,0.0028862231,0.2952262969,0.0215933311,0.1165548385,Genuine
O19,T5,0.7858074006,0.2746547575,0.0208937578,0.1260817527,0.0354194633,0.1766158297,Genuine
O20,T5,0.8107857537,0.135126245,0.0155085622,0.0946564678,0.0255388887,0.1249812224,Genuine
O1,T6,0.8289057664,0.1970662451,0.0171915855,0.1456437558,0.0420093866,0.1562740101,Genuine
O2,T6,0.8518512282,0.1617862475,0.0206276036,0.1062521349,0.046291637,0.1342979916,Genuine
O3,T6,0.9248024291,0.0330855559,0.0046926289,0.272060676,0.0358425287,0.1281632616,Genuine
O4,T6,0.9166170922,0.0507411234,0.0023156432,0.2259340289,0.0339877443,0.1294161714,Genuine
O5,T6,0.9221708768,0.1467132306,0.0151308174,0.0810813198,0.035087304,0.1307410563,Genuine
O6,T6,0.978100761,0.0080691459,0.0012906413,0.3568314105,0.0350850194,0.129221116,Genuine
O7,T6,0.9056350332,0.1507877331,0.0105969904,0.056548043,0.0340079311,0.1280794634,Genuine
O8,T6,0.9409814916,0.0352206953,0.004628691,0.3596518627,0.0355755074,0.1309232649,Genuine
O9,T6,0.8956670821,0.0578718289,0.0044345751,0.1966543104,0.0340482561,0.1395708644,Genuine
O10,T6,0.8888387263,0.1150470242,0.0118994746,0.0873790931,0.0367115224,0.1269076472,Genuine
O11,T6,0.87904124,0.060398274,0.0058806066,0.1677101694,0.0365384599,0.1478819178,Genuine
O12,T6,0.9505821446,0.0219175832,0.0016029788,0.2983780272,0.0343659498,0.1273211847,Genuine
O13,T6,0.9668032502,0.0245661472,0.0017006367,0.3165990317,0.0357442883,0.1301122154,Genuine
O14,T6,0.8624524075,0.1218032244,0.0175056626,0.1531301784,0.0405759185,0.1838557597,Genuine
O15,T6,0.8322614854,0.2624714142,0.0285854135,0.1535281779,0.0389619406,0.1509392973,Genuine
O16,T6,0.9359060583,0.0242937785,0.0020794288,0.3437168314,0.035422577,0.1305567523,Genuine
O17,T6,0.9341739777,0.0439588764,0.0028188295,0.2834778395,0.034868246,0.1333493206,Genuine
O18,T6,0.9342898051,0.0377954804,0.0024120011,0.2739532417,0.0351375885,0.1350825681,Genuine
